"","index","BVSP.Adjusted","N225.Adjusted","FTSE.Adjusted","GSPC.Adjusted","SSEC.Adjusted"
"1",2017-01-04,61589,19594.160156,7189.700195,2270.75,3158.793945
"2",2017-01-05,62071,19520.689453,7195.299805,2269,3165.410889
"3",2017-01-06,61665,19454.330078,7210.100098,2276.97998,3154.321045
"4",2017-01-10,62132,19301.439453,7275.5,2268.899902,3161.670898
"5",2017-01-11,62446,19364.669922,7290.5,2275.320068,3136.753906
"6",2017-01-12,63954,19134.699219,7292.399902,2270.439941,3119.289063
"7",2017-01-13,63652,19287.279297,7337.799805,2274.639893,3112.763916
"8",2017-01-17,64354,18813.529297,7220.399902,2267.889893,3108.774902
"9",2017-01-18,64150,18894.369141,7247.600098,2271.889893,3113.011963
"10",2017-01-19,63951,19072.25,7208.399902,2263.689941,3101.299072
"11",2017-01-20,64521,19137.910156,7198.399902,2271.310059,3123.138916
"12",2017-01-23,65749,18891.029297,7151.200195,2265.199951,3136.774902
"13",2017-01-24,65840,18787.990234,7150.299805,2280.070068,3142.552979
"14",2017-01-26,66191,19402.390625,7161.5,2296.679932,3159.166016
"15",2017-02-03,64954,18918.199219,7188.299805,2297.419922,3140.169922
"16",2017-02-06,63993,18976.710938,7172.200195,2292.560059,3156.983887
"17",2017-02-07,64199,18910.779297,7186.200195,2293.080078,3153.087891
"18",2017-02-08,64835,19007.599609,7188.799805,2294.669922,3166.981934
"19",2017-02-09,64965,18907.669922,7229.5,2307.870117,3183.178955
"20",2017-02-10,66125,19378.929688,7258.799805,2316.100098,3196.698975
"21",2017-02-13,66968,19459.150391,7278.899902,2328.25,3216.839111
"22",2017-02-14,66713,19238.980469,7268.600098,2337.580078,3217.927979
"23",2017-02-15,67976,19437.980469,7302.399902,2349.25,3212.986084
"24",2017-02-16,67814,19347.529297,7277.899902,2347.219971,3229.61792
"25",2017-02-17,67748,19234.619141,7300,2351.159912,3202.075928
"26",2017-02-21,69052,19381.439453,7274.799805,2365.379883,3253.325928
"27",2017-02-22,68590,19379.869141,7302.299805,2362.820068,3261.218018
"28",2017-02-23,67461,19371.460938,7271.399902,2363.810059,3251.375
"29",2017-02-24,66662,19283.539063,7243.700195,2367.340088,3253.433105
"30",2017-03-01,66989,19393.539063,7382.899902,2395.959961,3246.934082
"31",2017-03-02,65855,19564.800781,7382.399902,2381.919922,3230.028076
"32",2017-03-03,66786,19469.169922,7374.299805,2383.120117,3218.312012
"33",2017-03-06,66341,19379.140625,7350.100098,2375.310059,3233.865967
"34",2017-03-07,65742,19344.150391,7339,2368.389893,3242.406006
"35",2017-03-08,64718,19254.029297,7334.600098,2362.97998,3240.665039
"36",2017-03-09,64585,19318.580078,7315,2364.870117,3216.746094
"37",2017-03-10,64675,19604.609375,7343.100098,2372.600098,3212.76001
"38",2017-03-13,65534,19633.75,7367.100098,2373.469971,3237.023926
"39",2017-03-14,64699,19609.5,7357.899902,2365.449951,3239.327881
"40",2017-03-15,66235,19577.380859,7368.600098,2385.26001,3241.76001
"41",2017-03-16,65783,19590.140625,7416,2381.379883,3268.935059
"42",2017-03-17,64210,19521.589844,7425,2378.25,3237.447021
"43",2017-03-21,62980,19455.880859,7378.299805,2344.02002,3261.611084
"44",2017-03-22,63521,19041.380859,7324.700195,2348.449951,3245.219971
"45",2017-03-23,63531,19085.310547,7340.700195,2345.959961,3248.550049
"46",2017-03-24,63854,19262.529297,7336.799805,2343.97998,3269.445068
"47",2017-03-27,64308,18985.589844,7293.5,2341.590088,3266.955078
"48",2017-03-28,64640,19202.869141,7343.399902,2358.570068,3252.947998
"49",2017-03-29,65528,19217.480469,7373.700195,2361.129883,3241.313965
"50",2017-03-30,65266,19063.220703,7369.5,2368.060059,3210.237061
"51",2017-03-31,64984,18909.259766,7322.899902,2362.719971,3222.513916
"52",2017-04-05,64775,18861.269531,7331.700195,2352.949951,3270.304932
"53",2017-04-06,64223,18597.060547,7303.200195,2357.48999,3281.004883
"54",2017-04-07,64593,18664.630859,7349.399902,2355.540039,3286.615967
"55",2017-04-10,64650,18797.880859,7348.899902,2357.159912,3269.393066
"56",2017-04-11,64360,18747.869141,7365.5,2353.780029,3288.966064
"57",2017-04-12,63892,18552.609375,7349,2344.929932,3273.830078
"58",2017-04-13,62826,18426.839844,7327.600098,2328.949951,3275.959961
"59",2017-04-18,64159,18418.589844,7147.5,2342.189941,3196.712891
"60",2017-04-19,63407,18432.199219,7114.399902,2338.169922,3170.687012
"61",2017-04-20,63761,18430.490234,7118.5,2355.840088,3172.100098
"62",2017-04-24,64389,18875.880859,7264.700195,2374.149902,3129.531006
"63",2017-04-25,65148,19079.330078,7275.600098,2388.610107,3134.566895
"64",2017-04-26,64862,19289.429688,7288.700195,2387.449951,3140.846924
"65",2017-04-27,64677,19251.869141,7237.200195,2388.77002,3152.187012
"66",2017-04-28,65403,19196.740234,7203.899902,2384.199951,3154.657959
"67",2017-05-02,66722,19445.699219,7250.100098,2391.169922,3143.711914
"68",2017-05-08,65526,19895.699219,7300.899902,2399.379883,3078.613037
"69",2017-05-09,66278,19843,7342.200195,2396.919922,3080.5271
"70",2017-05-10,67350,19900.089844,7385.200195,2399.629883,3052.784912
"71",2017-05-11,67538,19961.550781,7386.600098,2394.439941,3061.5
"72",2017-05-12,68222,19883.900391,7435.399902,2390.899902,3083.512939
"73",2017-05-15,68474,19869.849609,7454.399902,2402.320068,3090.229004
"74",2017-05-16,68684,19919.820313,7522,2400.669922,3112.964111
"75",2017-05-17,67540,19814.880859,7503.5,2357.030029,3104.441895
"76",2017-05-18,61597,19553.859375,7436.399902,2365.719971,3090.138916
"77",2017-05-19,62639,19590.759766,7470.700195,2381.72998,3090.631104
"78",2017-05-22,61673,19678.279297,7496.299805,2394.02002,3075.676025
"79",2017-05-23,62662,19613.279297,7485.299805,2398.419922,3061.947021
"80",2017-05-24,63257,19742.980469,7514.899902,2404.389893,3064.075928
"81",2017-05-25,63227,19813.130859,7517.700195,2415.070068,3107.831055
"82",2017-05-26,64085,19686.839844,7547.600098,2415.820068,3110.059082
"83",2017-05-31,62711,19650.570313,7520,2411.800049,3117.177979
"84",2017-06-01,62289,19860.029297,7543.799805,2430.060059,3102.623047
"85",2017-06-02,62511,20177.279297,7547.600098,2439.070068,3105.540039
"86",2017-06-05,62450,20170.820313,7525.799805,2436.100098,3091.656006
"87",2017-06-06,62955,19979.900391,7525,2429.330078,3102.125977
"88",2017-06-07,63171,19984.619141,7478.600098,2433.139893,3140.324951
"89",2017-06-08,62756,19909.259766,7450,2433.790039,3150.333984
"90",2017-06-09,62211,20013.259766,7527.299805,2431.77002,3158.399902
"91",2017-06-12,61700,19908.580078,7511.899902,2429.389893,3139.876953
"92",2017-06-13,61829,19898.75,7500.399902,2440.350098,3153.74292
"93",2017-06-14,61923,19883.519531,7474.399902,2437.919922,3130.674072
"94",2017-06-16,61626,19943.259766,7463.5,2433.149902,3123.166016
"95",2017-06-19,62014,20067.75,7523.799805,2453.459961,3144.374023
"96",2017-06-20,60766,20230.410156,7472.700195,2437.030029,3140.013916
"97",2017-06-21,60762,20138.789063,7447.799805,2435.610107,3156.211914
"98",2017-06-22,61272,20110.509766,7439.299805,2434.5,3147.452881
"99",2017-06-23,61087,20132.669922,7424.100098,2438.300049,3157.873047
"100",2017-06-26,62188,20153.349609,7446.799805,2439.070068,3185.444092
"101",2017-06-27,61675,20225.089844,7434.399902,2419.379883,3191.197021
"102",2017-06-28,62018,20130.410156,7387.799805,2440.689941,3173.200928
"103",2017-06-29,62239,20220.300781,7350.299805,2419.699951,3188.062988
