"","index","BVSP.Adjusted","N225.Adjusted","FTSE.Adjusted","GSPC.Adjusted","SSEC.Adjusted"
"1",2017-01-04,61589,19594.160156,7189.700195,2270.75,3158.793945
"2",2017-01-05,62071,19520.689453,7195.299805,2269,3165.410889
"3",2017-01-06,61665,19454.330078,7210.100098,2276.97998,3154.321045
"4",2017-01-10,62132,19301.439453,7275.5,2268.899902,3161.670898
"5",2017-01-11,62446,19364.669922,7290.5,2275.320068,3136.753906
"6",2017-01-12,63954,19134.699219,7292.399902,2270.439941,3119.289063
"7",2017-01-13,63652,19287.279297,7337.799805,2274.639893,3112.763916
"8",2017-01-17,64354,18813.529297,7220.399902,2267.889893,3108.774902
"9",2017-01-18,64150,18894.369141,7247.600098,2271.889893,3113.011963
"10",2017-01-19,63951,19072.25,7208.399902,2263.689941,3101.299072
"11",2017-01-20,64521,19137.910156,7198.399902,2271.310059,3123.138916
"12",2017-01-23,65749,18891.029297,7151.200195,2265.199951,3136.774902
"13",2017-01-24,65840,18787.990234,7150.299805,2280.070068,3142.552979
"14",2017-01-26,66191,19402.390625,7161.5,2296.679932,3159.166016
